Device: cuda
Loading embeddings...
Train: 5608, Val: 1402
Warm-started from checkpoints_v6/best_vljepa_v6.pt
Epoch   1 | loss=0.4130 | R@1=0.4750 | R@5=0.7511 | cos=0.7114 | lr=5.00e-05
  -> New best cosine=0.7114
Epoch   2 | loss=0.4060 | R@1=0.4729 | R@5=0.7425 | cos=0.7066 | lr=5.00e-05
Epoch   3 | loss=0.4028 | R@1=0.4700 | R@5=0.7432 | cos=0.7030 | lr=5.00e-05
Epoch   4 | loss=0.4011 | R@1=0.4700 | R@5=0.7439 | cos=0.7046 | lr=5.00e-05
Epoch   5 | loss=0.3993 | R@1=0.4757 | R@5=0.7454 | cos=0.7056 | lr=5.00e-05
Epoch   6 | loss=0.3975 | R@1=0.4693 | R@5=0.7439 | cos=0.7055 | lr=5.00e-05
Epoch   7 | loss=0.3969 | R@1=0.4693 | R@5=0.7461 | cos=0.7059 | lr=4.99e-05
Epoch   8 | loss=0.3950 | R@1=0.4736 | R@5=0.7382 | cos=0.7045 | lr=4.99e-05
Epoch   9 | loss=0.3935 | R@1=0.4786 | R@5=0.7411 | cos=0.7053 | lr=4.99e-05
Epoch  10 | loss=0.3920 | R@1=0.4700 | R@5=0.7454 | cos=0.7060 | lr=4.99e-05
Epoch  11 | loss=0.3903 | R@1=0.4772 | R@5=0.7454 | cos=0.7059 | lr=4.98e-05
Epoch  12 | loss=0.3885 | R@1=0.4729 | R@5=0.7439 | cos=0.7057 | lr=4.98e-05
Epoch  13 | loss=0.3875 | R@1=0.4693 | R@5=0.7404 | cos=0.7070 | lr=4.98e-05
Epoch  14 | loss=0.3864 | R@1=0.4750 | R@5=0.7411 | cos=0.7058 | lr=4.97e-05
Epoch  15 | loss=0.3850 | R@1=0.4750 | R@5=0.7425 | cos=0.7055 | lr=4.97e-05
Epoch  16 | loss=0.3835 | R@1=0.4779 | R@5=0.7432 | cos=0.7068 | lr=4.97e-05
Epoch  17 | loss=0.3820 | R@1=0.4729 | R@5=0.7397 | cos=0.7059 | lr=4.96e-05
